,bed,bath,cube,home,price,area,address,latitude,longitude
83,2,,,Apartment,2450,Co. Dublin,"Malahide, Co. Dublin, Ireland",53.4509236,-6.1501378
84,1,1,,Apartment,1800,Dublin 4,"Pembroke Court, Pembroke Rd, Ballsbridge, Dublin 4, Ireland",53.3316344,-6.236053999999999
85,3,1,80,Semi-Detached,2550,Dublin 16,"16 Llewellyn Park, Rathfarnham, Dublin, D16 R224, Ireland",53.2815017,-6.264063699999999
86,2,1,,Terraced House,1800,Dublin,"Little Strand St, Townparks, Skerries, Co. Dublin, Ireland",53.5793969,-6.1076139
87,2,1,,Apartment,1785,Dublin,"Beverton Ct, Ballalease West, Donabate, Co. Dublin, Ireland",53.488816,-6.158670799999999
88,2,2,,Apartment,1950,Dublin 13,"13 Myrtle Rd, Stapolin, Dublin, D13 CX36, Ireland",53.3984446,-6.148654899999999
89,3,2,,Semi-Detached,2250,Dublin,"Forest Rd, Swords, Co. Dublin, Ireland",53.4471004,-6.2377857
90,3,3,,Terraced House,2200,Dublin 5,"5 Cromcastle Dr, Kilmore, Dublin 5, D05 HT65, Ireland",53.3926264,-6.218364299999999
91,3,3,,Terraced House,3500,County Dublin,"2 Thormanby Woods, Thormanby Road, Howth, Dublin, D13 P938, Ireland",53.3764358,-6.058166
92,3,2,,Semi-Detached,2050,Dublin 24,"24 Parkhill Way, Kilnamanagh, Dublin 24, D24 Y9EF, Ireland",53.3007601,-6.364539499999999
93,2,2,,Apartment,1900,Dublin 24,"Belgard Square W, Whitestown, Dublin, Ireland",53.2860053,-6.376029399999999
94,2,2,,Apartment,1875,Dublin 22,"Thornfield Square, Watery Ln, Clondalkin, Dublin 22, Ireland",53.32437400000001,-6.393126
95,1,1,,Studio,1100,Dublin,"Glenaraneen, Hillsbrook, Co. Dublin, Ireland",53.2432019,-6.4608495
96,1,1,,Studio,1100,Dublin,"Glenaraneen, Hillsbrook, Co. Dublin, Ireland",53.2432019,-6.4608495
97,1,1,,Apartment,1975,Dublin 18,"4, 18 Larkfield View, Ballyogan, Dublin, Co. Dublin, D18 W029, Ireland",53.25729279999999,-6.200917899999999
98,3,2,,Apartment,3000,Co. Dublin,"De Vesci House, Carrickbrennan Rd, Monkstown, Co. Dublin, Ireland",53.2895663,-6.1508334
